date,iso_code,location,total_cases,population
2020-01-05,KOR,South Korea,0.0,51815808
2020-01-06,KOR,South Korea,0.0,51815808
2020-01-07,KOR,South Korea,0.0,51815808
2020-01-08,KOR,South Korea,0.0,51815808
2020-01-09,KOR,South Korea,0.0,51815808
2020-01-10,KOR,South Korea,0.0,51815808
2020-01-11,KOR,South Korea,0.0,51815808
2020-01-12,KOR,South Korea,0.0,51815808
2020-01-13,KOR,South Korea,0.0,51815808
2020-01-14,KOR,South Korea,0.0,51815808
2020-01-15,KOR,South Korea,0.0,51815808
2020-01-16,KOR,South Korea,0.0,51815808
2020-01-17,KOR,South Korea,0.0,51815808
2020-01-18,KOR,South Korea,0.0,51815808
2020-01-19,KOR,South Korea,1.0,51815808
2020-01-20,KOR,South Korea,1.0,51815808
2020-01-21,KOR,South Korea,1.0,51815808
2020-01-22,KOR,South Korea,1.0,51815808
2020-01-23,KOR,South Korea,1.0,51815808
2020-01-24,KOR,South Korea,1.0,51815808
2020-01-25,KOR,South Korea,1.0,51815808
2020-01-26,KOR,South Korea,3.0,51815808
2020-01-27,KOR,South Korea,3.0,51815808
2020-01-28,KOR,South Korea,3.0,51815808
2020-01-29,KOR,South Korea,3.0,51815808
2020-01-30,KOR,South Korea,3.0,51815808
2020-01-31,KOR,South Korea,3.0,51815808
2020-02-01,KOR,South Korea,3.0,51815808
2020-02-02,KOR,South Korea,15.0,51815808
2020-02-03,KOR,South Korea,15.0,51815808
2020-02-04,KOR,South Korea,15.0,51815808
2020-02-05,KOR,South Korea,15.0,51815808
2020-02-06,KOR,South Korea,15.0,51815808
2020-02-07,KOR,South Korea,15.0,51815808
2020-02-08,KOR,South Korea,15.0,51815808
2020-02-09,KOR,South Korea,27.0,51815808
2020-02-10,KOR,South Korea,27.0,51815808
2020-02-11,KOR,South Korea,27.0,51815808
2020-02-12,KOR,South Korea,27.0,51815808
2020-02-13,KOR,South Korea,27.0,51815808
2020-02-14,KOR,South Korea,27.0,51815808
2020-02-15,KOR,South Korea,27.0,51815808
2020-02-16,KOR,South Korea,30.0,51815808
2020-02-17,KOR,South Korea,30.0,51815808
2020-02-18,KOR,South Korea,30.0,51815808
2020-02-19,KOR,South Korea,30.0,51815808
2020-02-20,KOR,South Korea,30.0,51815808
2020-02-21,KOR,South Korea,30.0,51815808
2020-02-22,KOR,South Korea,30.0,51815808
2020-02-23,KOR,South Korea,556.0,51815808
2020-02-24,KOR,South Korea,556.0,51815808
2020-02-25,KOR,South Korea,556.0,51815808
2020-02-26,KOR,South Korea,556.0,51815808
2020-02-27,KOR,South Korea,556.0,51815808
2020-02-28,KOR,South Korea,556.0,51815808
2020-02-29,KOR,South Korea,556.0,51815808
2020-03-01,KOR,South Korea,3526.0,51815808
2020-03-02,KOR,South Korea,3526.0,51815808
2020-03-03,KOR,South Korea,3526.0,51815808
2020-03-04,KOR,South Korea,3526.0,51815808
2020-03-05,KOR,South Korea,3526.0,51815808
2020-03-06,KOR,South Korea,3526.0,51815808
2020-03-07,KOR,South Korea,3526.0,51815808
2020-03-08,KOR,South Korea,7134.0,51815808
2020-03-09,KOR,South Korea,7134.0,51815808
2020-03-10,KOR,South Korea,7134.0,51815808
2020-03-11,KOR,South Korea,7134.0,51815808
2020-03-12,KOR,South Korea,7134.0,51815808
2020-03-13,KOR,South Korea,7134.0,51815808
2020-03-14,KOR,South Korea,7134.0,51815808
2020-03-15,KOR,South Korea,8162.0,51815808
2020-03-16,KOR,South Korea,8162.0,51815808
2020-03-17,KOR,South Korea,8162.0,51815808
2020-03-18,KOR,South Korea,8162.0,51815808
2020-03-19,KOR,South Korea,8162.0,51815808
2020-03-20,KOR,South Korea,8162.0,51815808
