date,iso_code,location,total_cases,population
2020-01-05,USA,United States,0.0,338289856
2020-01-06,USA,United States,0.0,338289856
2020-01-07,USA,United States,0.0,338289856
2020-01-08,USA,United States,0.0,338289856
2020-01-09,USA,United States,0.0,338289856
2020-01-10,USA,United States,0.0,338289856
2020-01-11,USA,United States,0.0,338289856
2020-01-12,USA,United States,0.0,338289856
2020-01-13,USA,United States,0.0,338289856
2020-01-14,USA,United States,0.0,338289856
2020-01-15,USA,United States,0.0,338289856
2020-01-16,USA,United States,0.0,338289856
2020-01-17,USA,United States,0.0,338289856
2020-01-18,USA,United States,0.0,338289856
2020-01-19,USA,United States,0.0,338289856
2020-01-20,USA,United States,0.0,338289856
2020-01-21,USA,United States,0.0,338289856
2020-01-22,USA,United States,0.0,338289856
2020-01-23,USA,United States,0.0,338289856
2020-01-24,USA,United States,0.0,338289856
2020-01-25,USA,United States,0.0,338289856
2020-01-26,USA,United States,7.0,338289856
2020-01-27,USA,United States,7.0,338289856
2020-01-28,USA,United States,7.0,338289856
2020-01-29,USA,United States,7.0,338289856
2020-01-30,USA,United States,7.0,338289856
2020-01-31,USA,United States,7.0,338289856
2020-02-01,USA,United States,7.0,338289856
2020-02-02,USA,United States,9.0,338289856
2020-02-03,USA,United States,9.0,338289856
2020-02-04,USA,United States,9.0,338289856
2020-02-05,USA,United States,9.0,338289856
2020-02-06,USA,United States,9.0,338289856
2020-02-07,USA,United States,9.0,338289856
2020-02-08,USA,United States,9.0,338289856
2020-02-09,USA,United States,20.0,338289856
2020-02-10,USA,United States,20.0,338289856
2020-02-11,USA,United States,20.0,338289856
2020-02-12,USA,United States,20.0,338289856
2020-02-13,USA,United States,20.0,338289856
2020-02-14,USA,United States,20.0,338289856
2020-02-15,USA,United States,20.0,338289856
2020-02-16,USA,United States,24.0,338289856
2020-02-17,USA,United States,24.0,338289856
2020-02-18,USA,United States,24.0,338289856
2020-02-19,USA,United States,24.0,338289856
2020-02-20,USA,United States,24.0,338289856
2020-02-21,USA,United States,24.0,338289856
2020-02-22,USA,United States,24.0,338289856
2020-02-23,USA,United States,40.0,338289856
2020-02-24,USA,United States,40.0,338289856
2020-02-25,USA,United States,40.0,338289856
2020-02-26,USA,United States,40.0,338289856
